filename,sample,co2,ppm,Land_Management,Treatment,date,Rep,sample_day,mass_CO2,mass_C,C_rate,C_rate_mg,cum_C,mg_cum_C
141020,13CelNTHRep1_unk-0019_10202014_27.qgd,TIC,1042.7103403982017,NTH,13C,2014-10-20,1,0,4.565681382019157e-4,1.2460440599734629e-4,0,0,1.2460440599734629e-4,0.12460440599734629
141020,13XylNTHRep1_unk-0020_10202014_28.qgd,TIC,1263.9049454078356,NTH,13X,2014-10-20,1,0,5.534218904635356e-4,1.510372716736543e-4,0,0,1.510372716736543e-4,0.1510372716736543
141020,H2ONTHRep1_unk-0021_10202014_29.qgd,TIC,1152.4727039177906,NTH,H2O,2014-10-20,1,0,5.04629422352644e-4,1.3772106321012514e-4,0,0,1.3772106321012514e-4,0.13772106321012514
141020,12ConNTHRep2_unk-0022_10202014_30.qgd,TIC,1539.3063583815028,NTH,12C,2014-10-20,2,0,6.732883528154408e-4,1.8375065679768825e-4,0,0,1.8375065679768825e-4,0.18375065679768826
141020,13CelNTHRep2_unk-0023_10202014_31.qgd,TIC,1415.5427103403981,NTH,13C,2014-10-20,2,0,6.191544747382782e-4,1.6897669611637035e-4,0,0,1.6897669611637035e-4,0.16897669611637034
141020,13XylNTHRep2_unk-0024_10202014_32.qgd,TIC,1493.1920359666024,NTH,13X,2014-10-20,2,0,6.531180754623517e-4,1.7824588058119306e-4,0,0,1.7824588058119306e-4,0.17824588058119306
141020,H2ONTHRep2_unk-0025_10202014_33.qgd,TIC,1502.5690430314708,NTH,H2O,2014-10-20,2,0,6.572195524728684e-4,1.7936523619067535e-4,0,0,1.7936523619067535e-4,0.17936523619067535
141020,12ConNTHRep3_unk-0026_10202014_34.qgd,TIC,1052.4727039177906,NTH,12C,2014-10-20,3,0,4.605957040454677e-4,1.2570359012247474e-4,0,0,1.2570359012247474e-4,0.12570359012247476
141020,13CelNTHRep3_unk-0027_10202014_35.qgd,TIC,1047.013487475915,NTH,13C,2014-10-20,3,0,4.582065763928245e-4,1.250515607601503e-4,0,0,1.250515607601503e-4,0.1250515607601503
141020,13XylNTHRep3_unk-0028_10202014_36.qgd,TIC,939.3705844572896,NTH,13X,2014-10-20,3,0,4.1109860055952956e-4,1.1219507592184754e-4,0,0,1.1219507592184754e-4,0.11219507592184753
141020,H2ONTHRep3_unk-0029_10202014_37.qgd,TIC,1058.4457289659601,NTH,H2O,2014-10-20,3,0,4.6320969077130096e-4,1.264169869541944e-4,0,0,1.264169869541944e-4,0.1264169869541944
141020,12ConNTHRep4_unk-0030_10202014_38.qgd,TIC,938.4714193962749,NTH,12C,2014-10-20,4,0,4.1023062979315153e-4,1.119581934661564e-4,0,0,1.119581934661564e-4,0.1119581934661564
141020,13CelNTHRep4_unk-0031_10202014_39.qgd,TIC,1142.9672447013488,NTH,13C,2014-10-20,4,0,4.9962115301115e-4,1.3635423014807824e-4,0,0,1.3635423014807824e-4,0.13635423014807824
